"step.1","step.2","count"
"category/data-science","Exited Site",191
"about","Exited Site",186
"string-interpolation-julia","Exited Site",182
"getting-started-using-rstudio","Exited Site",176
"Entered Site","category/data-science",174
"big-data-hadoop-amazon-ec2-cloudera-part-2","uploading-data-hadoop-amazon-ec2-cloudera-part-3",164
"adobe-analytics-implementation-documentation","Exited Site",154
"hadoop-creating-tables-hive","getting-started-hadoop-hive-pig",149
"Entered Site","comment-bubble-twenty-eleven",148
"comment-bubble-twenty-eleven","Exited Site",147
"category/data-science","category/data-science/page/2",147
"Entered Site","adobe-analytics-implementation-documentation",143
"about","category/data-science",132
"julia-language-beginners","julia-import-data",130
"learning-r-sas","Exited Site",127
"overlay-histogram-in-r","Exited Site",126
"Entered Site","sqldf-package-r",123
"Entered Site","overlay-histogram-in-r",120
"Entered Site","learning-r-sas",119
"julia-import-data","julia-language-beginners",116
"sqldf-package-r","Exited Site",112
"http://randyzwitch.com","about",111
"big-data-hadoop-amazon-ec2-cloudera-part-2","big-data-hadoop-amazon-ec2-cloudera-part-1",109
"http://randyzwitch.com","category/data-science",108
"wordpress-stats-or-google-analytics","Exited Site",106
"Entered Site","wordpress-stats-or-google-analytics",106
"Entered Site","about",105
"Entered Site","removing-powered-by-wordpress-scrappy",105
"removing-powered-by-wordpress-scrappy","Exited Site",103
"http://randyzwitch.com","page/2",93
"hadoop-creating-tables-hive","uploading-data-hadoop-amazon-ec2-cloudera-part-3",90
"category/data-science/page/2","category/data-science/page/3",90
"Entered Site","back-to-top-wordpress-scrappy",88
"back-to-top-wordpress-scrappy","Exited Site",88
"Entered Site","daa-certified-web-analyst-exam",86
"bounce-rate-modification-google-analytics-cutroni","Exited Site",83
"Entered Site","adobe-discover-3-first-impressions",81
"adobe-discover-3-first-impressions","Exited Site",80
"daa-certified-web-analyst-exam","Exited Site",80
"Entered Site","bounce-rate-modification-google-analytics-cutroni",79
"python-pypy-julia-r-pqr-jit-just-in-time-compiler","julia-language-beginners",75
"google-adsense-and-wordpress","Exited Site",73
"Entered Site","google-adsense-and-wordpress",72
"hadoop-creating-tables-hive","big-data-hadoop-amazon-ec2-cloudera-part-1",71
"http://randyzwitch.com","r-language-oddities",70
"getting-started-hadoop-hive-pig","hadoop-creating-tables-hive",70
"category/data-science/page/3","category/data-science/page/4",69
"uploading-data-hadoop-amazon-ec2-cloudera-part-3","big-data-hadoop-amazon-ec2-cloudera-part-2",68
"rsitecatalyst-version-1-3-release-notes","Exited Site",67
"julia-odbc-jl","julia-language-beginners",66
"Entered Site","optimizely-wordpress-install",66
"julia-language-beginners","python-pypy-julia-r-pqr-jit-just-in-time-compiler",66
"category/digital-analytics","Exited Site",66
"customize-adobe-sitecatalyst-menu","Exited Site",66
"optimizely-wordpress-install","Exited Site",64
"getting-started-hadoop-hive-pig","big-data-hadoop-amazon-ec2-cloudera-part-1",63
"Entered Site","video-r-rstudio-rcmdr-rattle",63
"page/2","page/3",63
"Entered Site","prevent-google-analytics-tracking-logged-in",62
"Entered Site","customize-adobe-sitecatalyst-menu",61
"prevent-google-analytics-tracking-logged-in","Exited Site",61
"video-r-rstudio-rcmdr-rattle","Exited Site",61
"category/digital-analytics","category/digital-analytics/page/2",60
"Entered Site","visualizing-analytics-languages-venneuler-jl",57
"getting-started-using-r-rcmdr","Exited Site",57
"visualizing-analytics-languages-venneuler-jl","Exited Site",55
"category/data-science/page/4","category/data-science/page/5",51
"Entered Site","tag/julia",50
"category/data-science","about",49
"julia-language-beginners","julia-odbc-jl",49
"Entered Site","tag/rsitecatalyst",47
"getting-started-using-rstudio","getting-started-using-r-rcmdr",46
"big-data-hadoop-amazon-ec2-cloudera-part-1","uploading-data-hadoop-amazon-ec2-cloudera-part-3",45
"r-language-oddities","http://randyzwitch.com",44
"Entered Site","category/digital-analytics",44
"uploading-data-hadoop-amazon-ec2-cloudera-part-3","getting-started-hadoop-hive-pig",43
"Entered Site","rsitecatalyst-version-1-3-release-notes",43
"julia-import-data","python-pypy-julia-r-pqr-jit-just-in-time-compiler",42
"uploading-data-hadoop-amazon-ec2-cloudera-part-3","big-data-hadoop-amazon-ec2-cloudera-part-1",42
"category/data-science","getting-started-hadoop-hive-pig",42
"Entered Site","getting-started-using-r-rcmdr",42
"page/3","page/4",42
"category/data-science","category/digital-analytics",41
"about","http://randyzwitch.com",40
"category/data-science","http://randyzwitch.com",40
"Entered Site","r-error-message-fun",39
"http://randyzwitch.com","julia-odbc-jl",38
"http://randyzwitch.com","category/digital-analytics",38
"big-data-hadoop-amazon-ec2-cloudera-part-1","hadoop-creating-tables-hive",37
"tag/rsitecatalyst","Exited Site",37
"category/digital-analytics/page/2","category/digital-analytics/page/3",36
"r-error-message-fun","Exited Site",36
"julia-language-beginners","category/data-science",36
"tag/julia","Exited Site",35
"http://randyzwitch.com","rsitecatalyst",34
"category/social-media","category/technology",34
"category/data-science/page/5","category/data-science/page/6",34
"category/data-science","category/social-media",34
"category/digital-analytics","real-time-reporting-adobe-analytics-api",33
"rsitecatalyst-k-means-clustering/comment-page-1","Exited Site",33
"python-pypy-julia-r-pqr-jit-just-in-time-compiler","julia-import-data",33
"Entered Site","tag/hive",32
"uaparser-jl","Exited Site",32
"category/data-science","julia-odbc-jl",31
"getting-started-hadoop-hive-pig","uploading-data-hadoop-amazon-ec2-cloudera-part-3",31
"category/data-science","hive-five-hard-won-lessons",31
"category/data-science/page/7","category/data-science/page/8",31
"category/data-science/page/6","category/data-science/page/7",31
"broken-macbook-pro-hinge-fixed-free/comment-page-1","Exited Site",31
"category/technology","category/digital-analytics",30
"twenty-eleven-child-theme-creating-css-file","Exited Site",30
"julia-odbc-jl","python-pypy-julia-r-pqr-jit-just-in-time-compiler",29
"category/technology","category/social-media",28
"category/data-science","category/technology",28
"http://randyzwitch.com","real-time-reporting-adobe-analytics-api",27
"getting-started-hadoop-hive-pig","category/data-science",27
"category/technology","Exited Site",27
"r-amazon-ec2","getting-started-using-rstudio",27
"julia-odbc-jl","julia-import-data",26
"Entered Site","twenty-eleven-child-theme-creating-css-file",26
"tag/amazon-ec2","Exited Site",26
"real-time-reporting-adobe-analytics-api","rsitecatalyst-version-1-3-release-notes",25
"julia-odbc-jl","http://randyzwitch.com",25
"google-analytics-for-wordpress","Exited Site",25
"http://randyzwitch.com","getting-started-hadoop-hive-pig",24
"julia-import-data","julia-odbc-jl",24
"rsitecatalyst","http://randyzwitch.com",24
"category/digital-analytics/page/3","category/digital-analytics/page/4",23
"rsitecatalyst","about",23
"python-pypy-julia-r-pqr-jit-just-in-time-compiler","julia-odbc-jl",23
"r-amazon-ec2/comment-page-1","Exited Site",23
"learning-r-sas/comment-page-1","Exited Site",23
"tag/hive","Exited Site",23
"rsitecatalyst","category/data-science",22
"julia-odbc-jl","category/data-science",22
"hadoop-creating-tables-hive","hive-five-hard-won-lessons",22
"category/data-science","creating-dummy-variables-data-frame-r",22
"getting-started-using-r-rcmdr","getting-started-using-rstudio",22
"Entered Site","google-analytics-seo-reports-inaccurate",22
"r-amazon-ec2","ipython-notebook-amazon-ec2",22
"Other","Exited Site",22
"rsitecatalyst-version-1-2-release-notes","Exited Site",22
"big-data-hadoop-amazon-ec2-cloudera-part-1","getting-started-hadoop-hive-pig",22
"hive-five-hard-won-lessons","category/data-science",21
"julia-language-beginners","http://randyzwitch.com",21
"category/social-media","Exited Site",21
"about","category/digital-analytics",21
"google-analytics-seo-reports-inaccurate","Exited Site",21
"http://randyzwitch.com","r-json-jsonlite-sprintf-paste",20
"page/4","page/5",20
"getting-started-using-rstudio","r-amazon-ec2",20
"category/digital-analytics","adobe-analytics-implementation-documentation",20
"Entered Site","rsitecatalyst-version-1-2-release-notes",20
"category/digital-analytics","r-language-oddities",20
"rsitecatalyst","category/digital-analytics",19
"data-science-innovation","Exited Site",19
"r-language-oddities","category/data-science",19
"julia-import-data","category/data-science",18
"real-time-reporting-adobe-analytics-api","adobe-analytics-implementation-documentation",18
"page/2","Exited Site",18
"r-language-oddities","category/digital-analytics",18
"Entered Site","Other",18
"getting-started-hadoop-hive-pig","big-data-hadoop-amazon-ec2-cloudera-part-2",17
"r-amazon-ec2","big-data-hadoop-amazon-ec2-cloudera-part-2",17
"hadoop-creating-tables-hive","category/data-science",17
"Entered Site","r-amazon-ec2/comment-page-1",17
"category/data-science/page/2","Exited Site",17
"Entered Site","google-analytics-for-wordpress",17
"Entered Site","page/2",17
"r-language-oddities","r-google-analytics-api",16
"julia-odbc-jl","about",16
"http://randyzwitch.com","sql-workbench-apache-hadoop-hive",16
"category/technology","broken-macbook-pro-hinge-fixed-free",16
"about","category/technology",16
"Entered Site","uaparser-jl",16
"Entered Site","rsitecatalyst-k-means-clustering/comment-page-1",16
"Entered Site","category/technology",16
"Entered Site","data-science-innovation",16
"category/social-media","category/data-science",15
"string-interpolation-julia","julia-odbc-jl",15
"big-data-hadoop-amazon-ec2-cloudera-part-2","hadoop-creating-tables-hive",15
"category/digital-analytics/page/4","category/digital-analytics/page/5",15
"rsitecatalyst-k-means-clustering","rsitecatalyst",15
"hadoop-creating-tables-hive","big-data-hadoop-amazon-ec2-cloudera-part-2",15
"category/digital-analytics","category/technology",15
"Entered Site","rsitecatalyst-version-1-1-release-notes",15
"category/digital-analytics","about",15
"python-pypy-julia-r-pqr-jit-just-in-time-compiler","http://randyzwitch.com",15
"category/data-science/page/5","Exited Site",15
"category/digital-analytics","category/data-science",15
"julia-import-data","http://randyzwitch.com",14
"real-time-reporting-adobe-analytics-api","anomaly-detection-adobe-analytics-api",14
"ipython-notebook-amazon-ec2","r-amazon-ec2",14
"http://randyzwitch.com","rsitecatalyst-version-1-3-release-notes",14
"hive-five-hard-won-lessons","http://randyzwitch.com",14
"big-data-hadoop-amazon-ec2-cloudera-part-2","category/data-science",14
"tag/julia","tag/julia/page/2",14
"big-data-hadoop-amazon-ec2-cloudera-part-2","getting-started-hadoop-hive-pig",14
"category/data-science","sql-workbench-apache-hadoop-hive",14
"r-amazon-ec2","rsitecatalyst-k-means-clustering/comment-page-1",14
"uploading-data-hadoop-amazon-ec2-cloudera-part-3","category/data-science",14
"category/data-science","rsitecatalyst",14
"r-json-jsonlite-sprintf-paste","http://randyzwitch.com",14
"r-language-oddities","julia-odbc-jl",14
"category/technology","category/data-science",14
"getting-started-hadoop-hive-pig","http://randyzwitch.com",14
"anomaly-detection-adobe-analytics-api","real-time-reporting-adobe-analytics-api",13
"r-language-oddities","about",13
"adobe-analytics-implementation-documentation","rsitecatalyst-version-1-3-release-notes",13
"getting-started-using-r-rcmdr","learning-r-sas",13
"category/data-science/page/2","category/data-science",13
"hive-five-hard-won-lessons","getting-started-hadoop-hive-pig",13
"hive-five-hard-won-lessons","about",13
"category/social-media","category/digital-analytics",13
"about","rsitecatalyst",13
"Entered Site","broken-macbook-pro-hinge-fixed-free/comment-page-1",13
"category/wordpress-tutorials","Exited Site",13
"r-amazon-ec2","http://randyzwitch.com",13
"Entered Site","learning-r-sas/comment-page-1",13
"category/digital-analytics/page/2","Exited Site",13
"Entered Site","category/social-media",13
"Entered Site","category/wordpress-tutorials",13
"r-amazon-ec2","category/data-science",13
"adobe-analytics-implementation-documentation","real-time-reporting-adobe-analytics-api",12
"category/data-science/page/8","category/data-science/page/7",12
"julia-odbc-jl","r-language-oddities",12
"r-language-oddities","r-json-jsonlite-sprintf-paste",12
"category/digital-analytics/page/5","category/digital-analytics/page/6",12
"string-interpolation-julia","julia-import-data",12
"http://randyzwitch.com","broken-macbook-pro-hinge-fixed-free",12
"getting-started-using-rstudio","video-r-rstudio-rcmdr-rattle",12
"tag/r","tag/r/page/2",12
"category/digital-analytics/page/3","rsitecatalyst-k-means-clustering",12
"category/digital-analytics","r-json-jsonlite-sprintf-paste",12
"category/data-science/page/3","Exited Site",12
"r-amazon-ec2/comment-page-1","rsitecatalyst-k-means-clustering/comment-page-1",12
"rsitecatalyst-version-1-3-release-notes","rsitecatalyst",12
"category/data-science","julia-language-beginners",12
"category/digital-analytics","rsitecatalyst",12
"page/2","http://randyzwitch.com",12
"category/digital-analytics","http://randyzwitch.com",12
"r-amazon-ec2","about",12
"r-amazon-ec2","tag/amazon-ec2",12
"r-amazon-ec2","automated-re-install-of-packages-for-r-3-0",12
"r-google-analytics-api","http://randyzwitch.com",11
"broken-macbook-pro-hinge-fixed-free","http://randyzwitch.com",11
"tag/julia","julia-odbc-jl",11
"http://randyzwitch.com","uaparser-jl",11
"rsitecatalyst","rsitecatalyst-k-means-clustering",11
"http://randyzwitch.com","r-amazon-ec2",11
"adobe-analytics-implementation-documentation","anomaly-detection-adobe-analytics-api",11
"least-useful-omniture-reports","customize-adobe-sitecatalyst-menu",11
"twitter-promoted-tweets","Exited Site",11
"page/6","page/7",11
"eyeblaster/addineyeV2.html","Exited Site",11
"julia-odbc-jl","getting-started-hadoop-hive-pig",11
"anomaly-detection-adobe-analytics-api","adobe-analytics-implementation-documentation",11
"big-data-hadoop-amazon-ec2-cloudera-part-2","r-amazon-ec2",10
"julia-language-beginners","about",10
"tag/hive","hive-five-hard-won-lessons",10
"getting-started-using-rstudio","learning-r-sas",10
"r-language-oddities","tag/julia",10
"hive-five-hard-won-lessons","hadoop-creating-tables-hive",10
"line-numbers-ipython-notebook","julia-language-beginners",10
"omniture-sitecatalyst-target-report","least-useful-omniture-reports",10
"http://randyzwitch.com","hive-five-hard-won-lessons",10
"http://randyzwitch.com","learning-r-sas/comment-page-1",10
"learning-r-sas/comment-page-1","http://randyzwitch.com",10
"category/data-science/page/6","category/data-science/page/5",10
"category/data-science/page/8","Exited Site",10
"category/data-science/page/4","Exited Site",10
"about","big-data-hadoop-amazon-ec2-cloudera-part-1",10
"automated-re-install-of-packages-for-r-3-0","r-amazon-ec2",10
"Entered Site","tag/amazon-ec2",10
"category/data-science","big-data-hadoop-amazon-ec2-cloudera-part-2",10
"category/digital-analytics/page/7","category/digital-analytics/page/8",10
"category/data-science/page/2","creating-dummy-variables-data-frame-r",10
"category/data-science","ipython-notebook-amazon-ec2",10
"category/social-media","twitter-promoted-tweets",9
"real-time-reporting-adobe-analytics-api","category/digital-analytics",9
"getting-started-hadoop-hive-pig","sql-workbench-apache-hadoop-hive",9
"getting-started-hadoop-hive-pig","tag/hadoop",9
"broken-macbook-pro-hinge-fixed-free","iphone-4s-activation-issues",9
"r-language-oddities","hive-five-hard-won-lessons",9
"category/digital-analytics/page/2","rsitecatalyst-k-means-clustering",9
"category/digital-analytics/page/2","category/digital-analytics",9
"http://randyzwitch.com","julia-language-beginners",9
"http://randyzwitch.com","category/technology",9
"string-interpolation-julia","http://randyzwitch.com",9
"julia-import-data","string-interpolation-julia",9
"category/data-science/page/3","amazon-elastic-map-reduce-mrjob-python",9
"uaparser-jl","about",9
"Entered Site","google-plus-button-wordpress-twenty-eleven",9
"page/3","Exited Site",9
"about","category/social-media",9
"page/7","page/8",9
"rsitecatalyst-version-1-1-release-notes","Exited Site",9
"python-pypy-julia-r-pqr-jit-just-in-time-compiler","line-numbers-ipython-notebook",9
"tag/r/page/2","tag/r/page/3",9
"category/data-science","category/data-science/page/3",9
"category/data-science/page/7","category/data-science/page/6",9
"page/5","page/6",9
"real-time-reporting-adobe-analytics-api","http://randyzwitch.com",8
"julia-import-data","uploading-data-hadoop-amazon-ec2-cloudera-part-3",8
"rsitecatalyst","uaparser-jl",8
"julia-language-beginners","r-language-oddities",8
"category/data-science/page/5","r-amazon-ec2",8
"julia-language-beginners","amazon-elastic-map-reduce-mrjob-python",8
"adobe-analytics-implementation-documentation","category/digital-analytics",8
"tag/rsitecatalyst","adobe-analytics-implementation-documentation",8
"big-data-hadoop-amazon-ec2-cloudera-part-2","http://randyzwitch.com",8
"http://randyzwitch.com","r-amazon-ec2/comment-page-1",8
"about","r-language-oddities",8
"http://randyzwitch.com","string-interpolation-julia",8
"hive-five-hard-won-lessons","sql-workbench-apache-hadoop-hive",8
"http://randyzwitch.com","broken-macbook-pro-hinge-fixed-free/comment-page-1",8
"tag/julia","python-pypy-julia-r-pqr-jit-just-in-time-compiler",8
"r-google-analytics-api","category/digital-analytics",8
"rsitecatalyst-version-1-1-release-notes","rsitecatalyst",8
"learning-r-sas","getting-started-using-r-rcmdr",8
"big-data-hadoop-amazon-ec2-cloudera-part-2","tag/amazon-ec2",8
"category/technology","about",8
"category/data-science/page/3","python-pypy-julia-r-pqr-jit-just-in-time-compiler",8
"rsitecatalyst-version-1-3-release-notes","adobe-analytics-implementation-documentation",8
"Entered Site","category/data-science/page/5",8
"iphone-4s-activation-issues","Exited Site",8
"google-plus-button-wordpress-twenty-eleven","Exited Site",8
"category/digital-analytics/page/8","category/digital-analytics/page/9",8
"google-analytics-individual-qualification","Exited Site",8
"rsitecatalyst-version-1-3-release-notes","real-time-reporting-adobe-analytics-api",8
"tag/hadoop","tag/hadoop/page/2",8
"category/data-science","string-interpolation-julia",8
"creating-dummy-variables-data-frame-r","category/data-science",8
"page/8","page/9",8
"sql-workbench-apache-hadoop-hive","getting-started-hadoop-hive-pig",8
"category/data-science","hadoop-creating-tables-hive",8
"page/2","getting-started-hadoop-hive-pig",8
"big-data-hadoop-amazon-ec2-cloudera-part-1","julia-language-beginners",8
"big-data-hadoop-amazon-ec2-cloudera-part-1","about",8
"category/data-science/page/8","learning-r-sas",7
"category/data-science/page/8","category/data-science/page/9",7
"anomaly-detection-adobe-analytics-api","rsitecatalyst-version-1-1-release-notes",7
"category/digital-analytics/page/9","category/digital-analytics/page/10",7
"string-interpolation-julia","python-pypy-julia-r-pqr-jit-just-in-time-compiler",7
"tag/rsitecatalyst","real-time-reporting-adobe-analytics-api",7
"category/data-science/page/2","python-pypy-julia-r-pqr-jit-just-in-time-compiler",7
"category/data-science/page/2","getting-started-hadoop-hive-pig",7
"r-language-oddities","tag/hive",7
"http://randyzwitch.com","tag/rsitecatalyst",7
"amazon-elastic-map-reduce-mrjob-python","category/data-science/page/4",7
"http://randyzwitch.com","category/social-media",7
"rsitecatalyst-k-means-clustering","http://randyzwitch.com",7
"tag/julia","line-numbers-ipython-notebook",7
"getting-started-using-rstudio","big-data-hadoop-amazon-ec2-cloudera-part-2",7
"learning-r-sas","category/data-science",7
"r-google-analytics-api","google-analytics-seo-reports-inaccurate",7
"r-google-analytics-api","category/data-science",7
"category/digital-analytics/page/6","category/digital-analytics/page/7",7
"r-amazon-ec2/comment-page-1","r-amazon-ec2",7
"page/2","creating-dummy-variables-data-frame-r",7
"big-data-hadoop-amazon-ec2-cloudera-part-1","category/data-science",7
"r-json-jsonlite-sprintf-paste","r-language-oddities",7
"rsitecatalyst-version-1-3-release-notes","http://randyzwitch.com",7
"category/technology","http://randyzwitch.com",7
"rsitecatalyst-k-means-clustering","r-google-analytics-api",7
"an-afternoon-with-edward-tufte","Exited Site",7
"page/4","Exited Site",7
"video-r-rstudio-rcmdr-rattle","getting-started-using-rstudio",7
"uaparser-jl","category/data-science",7
"removing-powered-by-wordpress-scrappy","removing-powered-by-wordpress-twenty-eleven",7
"removing-powered-by-wordpress-twenty-eleven","custom-header-twenty-eleven-child-theme",7
"category/data-science/page/6","big-data-hadoop-amazon-ec2-cloudera-part-1",7
"sql-workbench-apache-hadoop-hive","hive-five-hard-won-lessons",7
"category/data-science","uaparser-jl",7
"python-pypy-julia-r-pqr-jit-just-in-time-compiler","category/data-science",7
"least-useful-omniture-reports","omniture-sitecatalyst-target-report",7
"sql-workbench-apache-hadoop-hive","category/data-science",7
"tag/hadoop/page/2","tag/hadoop/page/3",6
"page/9","page/10",6
"daa-certified-web-analyst-exam","google-analytics-individual-qualification",6
"tag/rsitecatalyst","tag/rsitecatalyst/page/2",6
"real-time-reporting-adobe-analytics-api","category/data-science",6
"adobe-analytics-implementation-documentation","tag/rsitecatalyst",6
"getting-started-hadoop-hive-pig","string-interpolation-julia",6
"iphone-4s-activation-issues","tag/iphone",6
"category/digital-analytics/page/3","category/digital-analytics/page/2",6
"page/10","page/11",6
"category/social-media","category/social-media/page/2",6
"category/digital-analytics/page/4","r-google-analytics-api",6
"http://randyzwitch.com","julia-import-data",6
"http://randyzwitch.com","r-google-analytics-api",6
"line-numbers-ipython-notebook","ipython-notebook-amazon-ec2",6
"r-language-oddities","rsitecatalyst-version-1-3-release-notes",6
"http://randyzwitch.com","big-data-hadoop-amazon-ec2-cloudera-part-2",6
"http://randyzwitch.com","page/3",6
"tag/r/page/4","tag/r/page/5",6
"r-google-analytics-api","about",6
"amazon-elastic-map-reduce-mrjob-python","big-data-hadoop-amazon-ec2-cloudera-part-2",6
"julia-language-beginners","learning-r-sas/comment-page-1",6
"disable-mobile-theme-in-wordpress","Other",6
"creating-dummy-variables-data-frame-r","julia-language-beginners",6
"page/2","sql-workbench-apache-hadoop-hive",6
"r-json-jsonlite-sprintf-paste","about",6
"rsitecatalyst-k-means-clustering/comment-page-1","r-amazon-ec2",6
"creating-dummy-variables-data-frame-r","category/data-science/page/2",6
"broken-macbook-pro-hinge-fixed-free/comment-page-1","http://randyzwitch.com",6
"string-interpolation-julia","category/data-science",6
"tag/julia/page/2","Exited Site",6
"Entered Site","an-afternoon-with-edward-tufte",6
"uaparser-jl","rsitecatalyst",6
"python-pypy-julia-r-pqr-jit-just-in-time-compiler","category/data-science/page/3",6
"rsitecatalyst-version-1-3-release-notes","category/digital-analytics",6
"category/data-science","r-language-oddities",6
"about","r-amazon-ec2",6
"about","broken-macbook-pro-hinge-fixed-free",6
"sql-workbench-apache-hadoop-hive","uploading-data-hadoop-amazon-ec2-cloudera-part-3",6
"category/data-science","big-data-hadoop-amazon-ec2-cloudera-part-1",6
"category/data-science","julia-import-data",6
"category/digital-analytics","uaparser-jl",6
"category/digital-analytics","category/social-media",6
"category/data-science/page/4","julia-language-beginners",6
"video-r-rstudio-rcmdr-rattle/comment-page-1","Exited Site",6
"big-data-hadoop-amazon-ec2-cloudera-part-2","about",5
"big-data-hadoop-amazon-ec2-cloudera-part-2","automated-re-install-of-packages-for-r-3-0",5
"tag/r/page/3","tag/r/page/4",5
"broken-macbook-pro-hinge-fixed-free","about",5
"getting-started-using-r-rcmdr","video-r-rstudio-rcmdr-rattle",5
"page/11","page/12",5
"rsitecatalyst","learning-r-sas/comment-page-1",5
"anomaly-detection-adobe-analytics-api","rsitecatalyst",5
"category/data-science/page/9","learning-r-sas",5
"julia-import-data","tag/julia",5
"category/data-science/page/5","big-data-hadoop-amazon-ec2-cloudera-part-1",5
"tag/julia/page/2","julia-language-beginners",5
"uploading-data-hadoop-amazon-ec2-cloudera-part-3","julia-import-data",5
"category/social-media","about",5
"hive-five-hard-won-lessons","category/data-science/page/2",5
"http://randyzwitch.com","creating-dummy-variables-data-frame-r",5
"amazon-elastic-map-reduce-mrjob-python","python-pypy-julia-r-pqr-jit-just-in-time-compiler",5
"http://randyzwitch.com","tag/r",5
"julia-odbc-jl","uploading-data-hadoop-amazon-ec2-cloudera-part-3",5
"line-numbers-ipython-notebook","python-pypy-julia-r-pqr-jit-just-in-time-compiler",5
"getting-started-using-rstudio","category/data-science",5
"ipython-notebook-amazon-ec2","line-numbers-ipython-notebook",5
"learning-r-sas","getting-started-using-rstudio",5
"julia-language-beginners","tag/julia",5
"r-google-analytics-api","r-json-jsonlite-sprintf-paste",5
"r-google-analytics-api","r-language-oddities",5
"ipython-notebook-amazon-ec2","big-data-hadoop-amazon-ec2-cloudera-part-2",5
"julia-language-beginners","category/data-science/page/4",5
"category/wordpress-tutorials","removing-powered-by-wordpress-twenty-eleven",5
"uaparser-jl","julia-import-data",5
"twenty-eleven-child-theme-creating-css-file","wordpress-theme-twentyeleven-athualpa",5
"creating-dummy-variables-data-frame-r","http://randyzwitch.com",5
"page/2","adobe-analytics-implementation-documentation",5
"learning-r-sas/comment-page-1","getting-started-using-rstudio",5
"category/data-science/page/6","r-amazon-ec2",5
"Entered Site","iphone-4s-activation-issues",5
"Entered Site","coronado-island-san-diego",5
"big-data-hadoop-amazon-ec2-cloudera-part-1/comment-page-1","Exited Site",5
